"number","first_name","last_name","company","address","city","county","state","postal_code","risk_factor","phone1","phon2","email","web"
730,"James","Butt","Benton, John B Jr","6649 N Blue Gum St","New Orleans","Orleans","LA",70116,1.30104582103399,"504-621-8927","504-845-1427","jbutt@gmail.com","http://www.bentonjohnbjr.com"
220,"Josephine","Darakjy","Chanay, Jeffrey A Esq","4 B Blue Ridge Blvd","Brighton","Livingston","MI",48116,2.1116117160137,"810-292-9388","810-374-9840","josephine_darakjy@darakjy.org","http://www.chanayjeffreyaesq.com"
149,"Art","Venere","Chemel, James L Cpa","8 W Cerritos Ave #54","Bridgeport","Gloucester","NJ",8014,2.3388044903613,"856-636-8749","856-264-4130","art@venere.org","http://www.chemeljameslcpa.com"
98,"Lenna","Paprocki","Feltz Printing Service","639 Main St","Anchorage","Anchorage","AK",99501,0.376662709558313,"907-385-4412","907-921-2010","lpaprocki@hotmail.com","http://www.feltzprintingservice.com"
121,"Donette","Foller","Printing Dimensions","34 Center St","Hamilton","Butler","OH",45011,4.82079960193436,"513-570-1893","513-549-4561","donette.foller@cox.net","http://www.printingdimensions.com"
842,"Simona","Morasca","Chapman, Ross E Esq","3 Mcauley Dr","Ashland","Ashland","OH",44805,4.69311653149876,"419-503-2484","419-800-6759","simona@morasca.com","http://www.chapmanrosseesq.com"
917,"Mitsue","Tollner","Morlong Associates","7 Eads St","Chicago","Cook","IL",60632,4.86015778395839,"773-573-6914","773-924-8565","mitsue_tollner@yahoo.com","http://www.morlongassociates.com"
1002,"Leota","Dilliard","Commercial Press","7 W Jackson Blvd","San Jose","Santa Clara","CA",95111,2.70306608628568,"408-752-3500","408-813-1105","leota@hotmail.com","http://www.commercialpress.com"
488,"Sage","Wieser","Truhlar And Truhlar Attys","5 Boston Ave #88","Sioux Falls","Minnehaha","SD",57105,3.12710115729448,"605-414-2147","605-794-4895","sage_wieser@cox.net","http://www.truhlarandtruhlarattys.com"
568,"Kris","Marrier","King, Christopher A Esq","228 Runamuck Pl #2808","Baltimore","Baltimore City","MD",21224,3.70803069255018,"410-655-8723","410-804-4694","kris@gmail.com","http://www.kingchristopheraesq.com"
918,"Minna","Amigon","Dorl, James J Esq","2371 Jerrold Ave","Kulpsville","Montgomery","PA",19443,0.197801565687088,"215-874-1229","215-422-8694","minna_amigon@yahoo.com","http://www.dorljamesjesq.com"
836,"Abel","Maclead","Rangoni Of Florence","37275 St  Rt 17m M","Middle Island","Suffolk","NY",11953,0.954631942989808,"631-335-3414","631-677-3675","amaclead@gmail.com","http://www.rangoniofflorence.com"
624,"Kiley","Caldarera","Feiner Bros","25 E 75th St #69","Los Angeles","Los Angeles","CA",90034,0.443325045071515,"310-498-5651","310-254-3084","kiley.caldarera@aol.com","http://www.feinerbros.com"
771,"Graciela","Ruta","Buckley Miller & Wright","98 Connecticut Ave Nw","Chagrin Falls","Geauga","OH",44023,3.10392848591882,"440-780-8425","440-579-7763","gruta@cox.net","http://www.buckleymillerwright.com"
525,"Cammy","Albares","Rousseaux, Michael Esq","56 E Morehead St","Laredo","Webb","TX",78045,4.54852077857535,"956-537-6195","956-841-7216","calbares@gmail.com","http://www.rousseauxmichaelesq.com"
487,"Mattie","Poquette","Century Communications","73 State Road 434 E","Phoenix","Maricopa","AZ",85013,4.01359512394234,"602-277-4385","602-953-6360","mattie@aol.com","http://www.centurycommunications.com"
1101,"Meaghan","Garufi","Bolton, Wilbur Esq","69734 E Carrillo St","Mc Minnville","Warren","TN",37110,2.33206249023171,"931-313-9635","931-235-7959","meaghan@hotmail.com","http://www.boltonwilburesq.com"
831,"Gladys","Rim","T M Byxbee Company Pc","322 New Horizon Blvd","Milwaukee","Milwaukee","WI",53207,2.15123713302263,"414-661-9598","414-377-2880","gladys.rim@rim.org","http://www.tmbyxbeecompanypc.com"
111,"Yuki","Whobrey","Farmers Insurance Group","1 State Route 27","Taylor","Wayne","MI",48180,0.926998868065159,"313-288-7937","313-341-4470","yuki_whobrey@aol.com","http://www.farmersinsurancegroup.com"
